track_id,n_frames,mean_area_px,growth_rate_px2_per_frame,mean_speed_px_per_frame,total_path_px,net_displacement_px
2,2,349.5,43.0,5.84,5.8,5.8
3,3,260.7,97.5,9.4,18.8,18.5
4,9,152.8,-8.98,5.46,43.7,13.3
5,3,219.7,-102.0,8.13,16.3,12.2
6,5,513.4,-112.5,9.32,37.3,16.8
7,2,422.0,-386.0,19.31,19.3,19.3
8,11,1097.4,13.09,10.78,107.8,29.4
9,20,1681.6,12.31,5.02,95.4,4.5
10,7,1600.6,-265.14,7.87,47.2,15.5
11,3,240.0,-8.5,5.03,10.1,10.1
13,5,324.4,46.1,9.12,36.5,23.8
14,18,1495.3,-93.02,9.07,154.1,38.5
15,20,1642.6,48.97,10.47,199.0,35.9
16,3,307.3,-105.5,12.16,24.3,8.9
17,10,1108.7,58.02,10.67,96.0,9.4
18,2,157.5,21.0,11.79,11.8,11.8
19,6,1043.7,-369.31,14.97,74.9,33.0
20,10,381.7,7.41,7.34,66.0,21.5
21,2,2020.0,3390.0,16.39,16.4,16.4
22,5,257.2,-32.0,8.12,32.5,21.2
23,4,833.2,237.5,10.04,30.1,14.1
24,3,152.3,45.5,17.19,34.4,32.8
25,4,186.2,11.7,9.56,28.7,20.2
26,14,301.6,6.63,6.13,79.7,23.5
29,2,314.0,372.0,2.57,2.6,2.6
30,2,673.5,763.0,5.54,5.5,5.5
31,4,325.2,62.7,17.13,51.4,5.6
32,2,4594.0,82.0,24.49,24.5,24.5
33,2,161.5,175.0,6.92,6.9,6.9
34,2,328.0,176.0,20.46,20.5,20.5
35,8,373.5,13.81,7.11,49.8,24.0
36,4,22664.5,2458.6,10.88,32.6,25.0
37,7,3853.7,-638.96,18.18,109.1,11.2
38,3,163.7,-20.0,7.45,14.9,14.6
39,2,2813.5,2965.0,28.28,28.3,28.3
40,3,257.3,-103.0,4.75,9.5,5.4
41,11,3962.2,-178.03,7.38,73.8,32.3
42,9,369.9,17.3,10.79,86.4,26.4
43,2,173.0,-64.0,3.29,3.3,3.3
44,7,4767.6,-99.14,14.53,87.2,12.9
50,2,150.0,-104.0,2.17,2.2,2.2
51,3,268.0,-66.0,10.95,21.9,20.0
52,2,648.5,-899.0,7.55,7.5,7.5
53,2,802.5,-403.0,8.34,8.3,8.3
54,4,656.8,-10.7,12.04,36.1,31.2
55,7,835.4,-58.32,11.61,69.7,28.8
56,4,6229.0,2876.4,14.29,42.9,31.0
57,14,326.4,8.52,13.82,179.6,17.6
59,3,627.3,-258.5,15.71,31.4,30.3
60,2,380.0,244.0,15.33,15.3,15.3
63,13,4552.1,184.7,11.77,141.3,29.5
65,3,441.0,32.0,10.6,21.2,20.9
66,4,389.8,-31.9,8.59,25.8,20.9
67,3,1022.0,-1307.5,16.42,32.8,24.5
69,6,276.5,-9.57,4.18,20.9,6.1
70,14,385.9,5.96,12.29,159.8,68.2
72,2,422.0,-354.0,23.22,23.2,23.2
75,4,1134.2,-143.1,16.62,49.9,14.5
76,3,566.0,510.0,12.13,24.3,23.2
78,10,1222.2,266.11,14.78,133.0,24.1
79,2,114.5,-15.0,12.2,12.2,12.2
82,2,633.0,22.0,14.14,14.1,14.1
84,2,10774.5,17999.0,31.31,31.3,31.3
85,2,432.5,-75.0,10.91,10.9,10.9
86,2,4076.0,-348.0,5.15,5.2,5.2
87,2,1186.0,-206.0,15.93,15.9,15.9
88,2,308.5,-137.0,6.8,6.8,6.8
